site1,part/number,site2,document/type,purchase/order/number,indication,supplier,first/qty,purchase/order/quantity,created/date,eta,total/po/qty,total/number/of/po,eta/status,final/po/qty,index/part/number
GREECE,ADC2616V,GREECE,Purchase Order,144860 BO,O,LUDA,70,20,31-10-2024,03-02-2025,110,3,2,40,ADC2616V2
GREECE,ADC2616V,GREECE,Purchase Order,144825 BO,O,LUDA,12,70,07-10-2024,10-02-2025,110,3,3,70,ADC2616V3
GREECE,ADC2700,GREECE,Purchase Order,144788,O,LUDA,30,50,04-09-2024,03-02-2025,220,7,1,80,ADC27001
GREECE,ADC2700,GREECE,Purchase Order,144860,O,LUDA,28,30,31-10-2024,03-02-2025,220,7,2,80,ADC27002
GREECE,ADC2700,GREECE,Purchase Order,144825 BOII,O,LUDA,32,30,07-10-2024,10-02-2025,220,7,3,30,ADC27003
GREECE,ADC2700,GREECE,Purchase Order,144884 BO,O,LUDA,69,30,21-11-2024,14-02-2025,220,7,4,30,ADC27004
GREECE,ADC2700,GREECE,Purchase Order,144905,O,LUDA,36,20,06-12-2024,26-03-2025,220,7,5,20,ADC27005
GREECE,ADC2700,GREECE,Purchase Order,144933,O,LUDA,67,30,30-12-2024,29-04-2025,220,7,6,30,ADC27006
GREECE,ADC2700,GREECE,Purchase Order,144961,O,LUDA,39,30,27-01-2025,27-05-2025,220,7,7,30,ADC27007
GREECE,ADC2701V,GREECE,Purchase Order,144807,O,LUDA,48,20,23-09-2024,03-02-2025,270,6,1,80,ADC2701V1
GREECE,ADC2701V,GREECE,Purchase Order,144860 BOII,O,LUDA,67,60,31-10-2024,03-02-2025,270,6,2,80,ADC2701V2
GREECE,ADC2701V,GREECE,Purchase Order,144825 BO,O,LUDA,19,50,07-10-2024,10-02-2025,270,6,3,50,ADC2701V3
GREECE,ADC2701V,GREECE,Purchase Order,144884,O,LUDA,56,86,21-11-2024,14-02-2025,270,6,4,120,ADC2701V4
