REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,BACKORDER,PRIORITY CODE,CURRENT STOCK,PRSYPAPPSEC,SALES ORDERS,SALES-BACK ORDER,CUSTOMER TOTAL BO QTY,ACTUAL STOCK,ETA,TOTAL PO QTY,TOTAL NUMBER OF PO,FINAL PO QTY,RELEASE,NOTE,NUMBER OF DAYS ETA
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC149L,16.49,2.0,1.0,SPECIAL,0.0,0.0,0.0,4.0,3.0,0.0,2025-01-29,4.0,2.0,2.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC167R,17.87,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC208L,21.1,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,4.0,0.0,2025-01-29,4.0,2.0,2.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC223L,31.05,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,4.0,0.0,2025-01-29,4.0,2.0,2.0,0.0,done,-4.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC230L,18.77,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC231R,22.29,1.0,1.0,SPECIAL,0.0,0.0,0.0,3.0,1.0,0.0,2025-02-14,1.0,1.0,1.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC232L,19.06,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC232R,19.06,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC235L,19.84,2.0,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,0.0,2025-02-14,2.0,1.0,2.0,0.0,done,12.0
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC235R,19.84,2.0,2.0,SPECIAL,0.0,0.0,0.0,4.0,4.0,0.0,2025-01-29,4.0,2.0,2.0,0.0,done,-4.0
