rec/id,record/id,date,description,document/no,company/name,part/number,item/description,unit/price,qty,availability,backorder,lost/sales,closed/qty,weighed/item,group,qenim,comment,expected/delivery,balance,company/id,third/code,priority/code,current/stock,prsypappsec,sales/orders,sales-back/order,branch/id,employee,supplier
911877,9,2025/01/10  ,BRAKE PAD,214611,(NEXT) COMLINE IRELAND LIMITED,CBP1797,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ. VW,8.3,4.00,0.0,1,0.0,3.0,0,54978|3,0,,,0.0,IE0209001,ADB1797,MED,117.00,0.00,40.0,1.0,1,161,A
886878,31,2024/07/29  ,BRAKE PAD,183405,(NEXT) COMLINE IRELAND LIMITED,CBP02335,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ.PEUGEOT,7.49,8.00,0.0,1,0.0,7.0,0,,0,,,0.0,IE0209001,ADB02335,V-SLOW,42.00,0.00,5.0,4.0,1,161,Z
911864,54,2025/01/10  ,BRAKE PAD,214607,(NEXT) COMLINE IRELAND LIMITED,CBP02335,ΣΕΤ ΔΙΣΚΟΦΡΕΝΑ ΟΠΙΣΘ.PEUGEOT,7.49,3.00,0.0,3,0.0,0.0,0,,0,,,0.0,IE0209001,ADB02335,V-SLOW,42.00,0.00,5.0,4.0,1,161,Z
906533,27,2024/12/02  ,BRAKE DISC+CALIPER+WBK+CLUTCH+STSUP,208205,(NEXT) COMLINE IRELAND LIMITED,CBK089,ΣΕΤ ΡΟΥΛΕΜΑΝ ΟΠΙΣΘΙΟΥ ΤΡΟΧΟΥ CITROEN-PEUGEOT,8.97,2.00,0.0,2,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,0.00,24.00,0.0,2.0,1,161,CG
901119,43,2024/10/30  ,CALIPER+CLUTCH+HYD+WBK,202601,(NEXT) COMLINE IRELAND LIMITED,CBK295,ΣΕΤ ΡΟΥΛΕΜΑΝ ΤΡΟΧΟΥ ΟΠΙΣΘ. RENAULT - DACIA - MERCEDES-BENZ,8.6,14.00,0.0,13,0.0,1.0,0,53865|1,0,,,0.0,IE0209001,,SLOW,38.00,24.00,0.0,13.0,1,161,CG
906535,33,2024/12/02  ,AIR FILTER,208207,(NEXT) COMLINE IRELAND LIMITED,EAF788,ΦΙΛΤΡΟ ΑΕΡΟΣ  FIAT,3.09,6.00,0.0,6,0.0,0.0,0,,0,,,0.0,IE0209001,EAF763,OBS,0.00,0.00,0.0,65.0,1,161,BQ
911878,88,2025/01/10  ,AIR FILTER,214612,(NEXT) COMLINE IRELAND LIMITED,EAF1025,ΦΙΛΤΡΟ ΑΕΡΟΣ  KIA - HYUNDAI,4.0,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SLOW,29.00,0.00,29.0,158.0,1,161,BQ
906535,58,2024/12/02  ,AIR FILTER,208207,(NEXT) COMLINE IRELAND LIMITED,EAF895,ΦΙΛΤΡΟ ΑΕΡΟΣ  NISSAN - RENAULT,3.27,28.00,0.0,28,0.0,0.0,0,,0,,,0.0,IE0209001,,FAST,"1,063.00",0.00,15.0,28.0,1,161,JW
891636,64,2024/09/03  ,AIR FILTER,190409,(NEXT) COMLINE IRELAND LIMITED,EAF438,ΦΙΛΤΡΟ ΑΕΡΟΣ ALFA ROMEO-FIAT,2.82,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,OBS,0.00,0.00,0.0,3.0,1,161,FL
906535,6,2024/12/02  ,AIR FILTER,208207,(NEXT) COMLINE IRELAND LIMITED,EAF604,ΦΙΛΤΡΟ ΑΕΡΟΣ CITROEN-FORD-MAZDA-PEUGEOT-TOYOTA,2.25,4.00,0.0,4,0.0,0.0,0,,0,,,0.0,IE0209001,EAF444,OBS,0.00,0.00,0.0,26.0,1,161,BQ
911880,55,2025/01/10  ,AIR FILTER,214614,(NEXT) COMLINE IRELAND LIMITED,EAF998,ΦΙΛΤΡΟ ΑΕΡΟΣ FORD,4.58,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,MED,67.00,0.00,37.0,1.0,1,161,JW
911878,13,2025/01/10  ,AIR FILTER,214612,(NEXT) COMLINE IRELAND LIMITED,CIZ12521,ΦΙΛΤΡΟ ΑΕΡΟΣ ISUZU,4.66,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,SLOW,0.00,0.00,0.0,1.0,1,161,BQ
901137,6,2024/10/30  ,AIR FILTER,202609,(NEXT) COMLINE IRELAND LIMITED,EAF837,ΦΙΛΤΡΟ ΑΕΡΟΣ LAND ROVER,4.57,4.00,0.0,4,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,200.00,0.00,10.0,4.0,1,161,BQ
911880,35,2025/01/10  ,AIR FILTER,214614,(NEXT) COMLINE IRELAND LIMITED,EAF940,ΦΙΛΤΡΟ ΑΕΡΟΣ VW- SKODA,2.83,1.00,0.0,1,0.0,0.0,0,,0,,,0.0,IE0209001,,V-SLOW,57.00,0.00,10.0,7.0,1,161,BQ
911898,6,2025/01/10  ,CABIN FILTER+OIL FILTER,214622,(NEXT) COMLINE IRELAND LIMITED,EKF422,ΦΙΛΤΡΟ ΚΑΜΠΙΝΑΣ  TOYOTA-MAZDA- SUZUKI-LEXUS,2.8,1.00,0.0,1,0.0,0.0,0,55011|1,0,,,0.0,IE0209001,,SLOW,0.00,0.00,0.0,14.0,1,161,FL
