standardcode,partnumber,customercode,customername,targetdate,status,2023-customer-sales,2024-customer-sales,number-of-customer-target,number-of-part-number-target,sales-after-target,total-sales-after-first-target
EKF170ATI,EKF170,ATI,ATI,,Best Offered,350,300,1,3,300,
EKF267ATI,EKF267,ATI,ATI,,Best Offered,0,2,1,1,2,
EKF370-2ATI,EKF370-2,ATI,ATI,,Best Offered,0,70,2,3,70,
EOF238ATI,EOF238,ATI,ATI,,Best Offered,22,60,1,1,60,
EOF262ATI,EOF262,ATI,ATI,,Best Offered,104,100,1,1,100,
EOF280ATI,EOF280,ATI,ATI,,Best Offered,242,158,2,2,150,
EOF337ATI,EOF337,ATI,ATI,,Best Offered,0,400,3,6,400,
EOF346ATI,EOF346,ATI,ATI,,Best Offered,2,21,1,1,15,
EAF1053ATI,EAF1053,ATI,ATI,,Best Offered,0,8,1,1,8,
CHN12856ATI,CHN12856,ATI,ATI,,No Discount,5,2,1,2,2,
CMZ12680ATI,CMZ12680,ATI,ATI,,No Discount,150,150,2,2,100,
CTY11110ATI,CTY11110,ATI,ATI,,No Discount,70,100,2,3,100,
CTY11170ATI,CTY11170,ATI,ATI,,No Discount,1000,1600,2,5,1600,
EFF193ATI,EFF193,ATI,ATI,,No Discount,2,0,2,4,0,
EKF184ATI,EKF184,ATI,ATI,,No Discount,200,350,2,3,200,
EKF199ATI,EKF199,ATI,ATI,,No Discount,109,80,1,1,80,
EKF295AATI,EKF295A,ATI,ATI,,No Discount,2,4,1,1,4,
EKF404ATI,EKF404,ATI,ATI,,No Discount,417,365,1,2,100,
EOF023ATI,EOF023,ATI,ATI,,No Discount,200,100,1,1,100,
EOF196ATI,EOF196,ATI,ATI,,No Discount,2,2,1,2,2,
EOF260ATI,EOF260,ATI,ATI,,No Discount,-1,0,2,3,0,
EOF285ATI,EOF285,ATI,ATI,,No Discount,0,60,2,3,60,
EOF265ATI,EOF265,ATI,ATI,,No Discount,400,400,2,2,400,
CHN12856A Psaltis + Sotiris,CHN12856,A Psaltis + Sotiris,A Psaltis + Sotiris,,No Discount,0,0,1,2,0,
EAF259A Psaltis + Sotiris,EAF259,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,191,146,1,1,74,
EAF260A Psaltis + Sotiris,EAF260,A Psaltis + Sotiris,A Psaltis + Sotiris,,Best Offered,0,0,1,1,0,
EAF868A Psaltis + Sotiris,EAF868,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,16,10,1,2,10,
EAF1005ATI,EAF1005,ATI,ATI,,Best Offered,161,150,2,4,150,
EOF280ATI,EOF280,ATI,ATI,,Target Accepted,242,158,2,2,150,
EOF337ATI,EOF337,ATI,ATI,,Target Accepted,0,400,3,6,400,
CTY11170ATI,CTY11170,ATI,ATI,,Target Accepted,1000,1600,2,5,1600,
EOF265ATI,EOF265,ATI,ATI,,Target Accepted,400,400,2,2,400,
EAF1032ATI,EAF1032,ATI,ATI,,Best Offered,360,600,3,6,600,
CMZ12680ATI,CMZ12680,ATI,ATI,,No Discount,150,150,2,2,100,
CTY11110ATI,CTY11110,ATI,ATI,,No Discount,70,100,2,3,100,
EKF184ATI,EKF184,ATI,ATI,,No Discount,200,350,2,3,200,
EFF193ATI,EFF193,ATI,ATI,,No Discount,2,0,2,4,0,
ECK417AMEILYA/LYNA,ECK417,AMEILYA/LYNA,AMEILYA/LYNA,,No Discount,0,4,1,1,4,
ADC3015AMEILYA/LYNA,ADC3015,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,6,6,1,4,6,
CBP32281AMEILYA/LYNA,CBP32281,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,4,1,1,4,
CHA131AMEILYA/LYNA,CHA131,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,2,1,2,2,
CCA2052AMEILYA/LYNA,CCA2052,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,0,1,1,0,
ECK470AMEILYA/LYNA,ECK470,AMEILYA/LYNA,AMEILYA/LYNA,,No Discount,0,0,1,1,0,
ECK477AMEILYA/LYNA,ECK477,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,14,1,1,14,
ECK482AMEILYA/LYNA,ECK482,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,11,1,1,11,
ECK484AMEILYA/LYNA,ECK484,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,8,1,1,8,
ECK487AMEILYA/LYNA,ECK487,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,6,1,1,6,
ECK476AMEILYA/LYNA,ECK476,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,8,1,1,8,
ECK479AMEILYA/LYNA,ECK479,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,8,1,1,8,
ECK483AMEILYA/LYNA,ECK483,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,5,1,1,5,
ECK485AMEILYA/LYNA,ECK485,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,5,1,1,5,
ECK488AMEILYA/LYNA,ECK488,AMEILYA/LYNA,AMEILYA/LYNA,,Best Offered,0,0,1,1,0,
ECK486AMEILYA/LYNA,ECK486,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,0,1,1,0,
ECK478AMEILYA/LYNA,ECK478,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,2,1,1,2,
ECK480AMEILYA/LYNA,ECK480,AMEILYA/LYNA,AMEILYA/LYNA,,Target Accepted,0,2,1,1,2,
ADC0525A Psaltis + Sotiris,ADC0525,A Psaltis + Sotiris,A Psaltis + Sotiris,,Target Accepted,0,0,2,2,0,
