Rec ID,Record ID,Date,Description,Document No,Company Name,Part Number,Item description,Unit Price,Qty,Availability,BackOrder,Lost Sales,Closed Qty,Weighed Item,Group,qEnim,Comment,Expected delivery,Balance,Company ID,Third code,Priority code,Current Stock,PrsYpApPSec,Sales Orders,Sales-Back Order,Branch ID,Employee,Supplier
912653,37,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC309R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI-SEAT-VW,40.63,6.00,0.00,4,0.00,2.00,0,55015|2,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,13.00,1,161,UR
906952,31,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC309R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI-SEAT-VW,40.63,1.00,0.00,1,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,13.00,1,161,UR
904652,34,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC309R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ AUDI-SEAT-VW,40.63,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,13.00,1,161,UR
912653,79,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC467R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ. ΔΕΞΙΑ SEAT-SKODA,19.44,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
912650,6,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC006L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘ.ΑΡΙΣΤΕΡΗ MINI,21.04,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
906952,49,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC279L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ CHEVROLET,22.18,1.00,0.00,1,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
912650,82,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC279L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ CHEVROLET,22.18,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
912653,60,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC388L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ HYUNDAI,24.24,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,2.00,1,161,UR
912653,47,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC333L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ MITSUBISHI,21.17,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
904652,35,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC333L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ MITSUBISHI,21.17,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
912650,75,2025/01/16  ,NON EUR1 CALIPER,215105,(GAZ) COMLINE IRELAND LIMITED,CBC247L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ NISSAN,20.39,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,2.00,1,161,UR
904652,28,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC236L,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΑΡΙΣΤΕΡΗ VW,17.69,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,2.00,1,161,UR
912653,31,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC279R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ CHEVROLET,22.18,3.00,0.00,3,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
900927,23,2024/10/29  ,NON EUR1 - CALIPER+CVJOINT+STSUP+WBK,202305,(GAZ) COMLINE IRELAND LIMITED,CBC124R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ CITROEN,19.85,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,10.00,1,161,UR
906952,24,2024/12/03  ,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104,(GAZ) COMLINE IRELAND LIMITED,CBC124R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ CITROEN,19.85,1.00,0.00,1,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,10.00,1,161,UR
912653,61,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC388R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ HYUNDAI,24.24,3.00,0.00,3,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,3.00,1,161,UR
912653,62,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC391R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ HYUNDAI,21.10,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,2.00,1,161,UR
912653,48,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC333R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ MITSUBISHI,21.17,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
904652,36,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC333R,ΔΑΓΚΑΝΑ ΦΡΕΝΩΝ ΟΠΙΣΘΙΑ ΔΕΞΙΑ MITSUBISHI,21.17,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,5.00,1,161,UR
904652,49,2024/11/19  ,NON EUR1 CALIPER + WBK + CVJOINT,206304,(GAZ) COMLINE IRELAND LIMITED,CBC626L,ΔΑΓΚΑΝΕΣ ΦΡΕΝΩΝ,19.92,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,4.00,1,161,UR
896254,19,2024/10/01  ,NON EUR1 - CALIPER+CVJOINT+BRAKE DISC+WBK,196306,(GAZ) COMLINE IRELAND LIMITED,CBC565R,ΔΑΓΚΑΝΕΣ ΦΡΕΝΩΝ,21.38,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,4.00,1,161,UR
912653,86,2025/01/16  ,NON EUR1 CALIPER,215106,(GAZ) COMLINE IRELAND LIMITED,CBC564L,ΔΑΓΚΑΝΕΣ ΦΡΕΝΩΝ,20.47,2.00,0.00,2,0.00,0.00,0,,0,,,0.00,IE0109001,,SPECIAL,0.00,0.00,0.00,2.00,1,161,UR
